"d-flex href","symbol","text-start 2","text-start 4"
"https://www.set.or.th/th/market/product/stock/quote/ACAP/price","ACAP","บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน)","mai"
"https://www.set.or.th/th/market/product/stock/quote/BLISS/price","BLISS","บริษัท บลิส อินเทลลิเจนซ์ จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/CHARAN/price","CHARAN","บริษัท จรัญประกันภัย จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/CIMBT/price","CIMBT","ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/CV/price","CV","บริษัท โคลเวอร์ เพาเวอร์ จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/GLAND/price","GLAND","บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/GSTEEL/price","GSTEEL","บริษัท จี สตีล จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/JKN/price","JKN","บริษัท เจเคเอ็น โกลบอล กรุ๊ป จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/KKC/price","KKC","บริษัท กุลธรเคอร์บี้ จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/KWI/price","KWI","บริษัท เคดับบลิวไอ จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/LRH/price","LRH","บริษัท ลากูน่า รีสอร์ท แอนด์ โฮเท็ล จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/NFC/price","NFC","บริษัท เอ็นเอฟซี จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/NWR/price","NWR","บริษัทเนาวรัตน์พัฒนาการ จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/ROH/price","ROH","บริษัท โรงแรมรอยัล ออคิด (ประเทศไทย) จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/TAPAC/price","TAPAC","บริษัท ทาพาโก้ จำกัด (มหาชน)","mai"
"https://www.set.or.th/th/market/product/stock/quote/TR/price","TR","บริษัท ไทยเรยอน จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/UMS/price","UMS","บริษัท ยูนิค ไมนิ่ง เซอร์วิสเซส จำกัด (มหาชน)","mai"
"https://www.set.or.th/th/market/product/stock/quote/UOBKH/price","UOBKH","บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน)","SET"
"https://www.set.or.th/th/market/product/stock/quote/WELL/price","WELL","บริษัท เวล แมเนจเม้นท์ คอร์ปอเรชั่น จำกัด (มหาชน)","mai"
